date,maga,toiletpaper,economy,stayathome,chinavirus,stayhealthy,pencedemic,shelterinplace,pandemic,votebluenomatterwho
1,89,0,29,0,15,2,153,0,203,15
2,15,1,18,0,4,3,121,0,84,3
3,109,10,99,0,16,8,64,0,173,26
4,92,13,102,0,14,27,51,1,214,31
5,25,3,26,0,9,1,9,0,66,8
6,36,3,30,0,2,7,9,0,68,14
7,32,20,17,0,7,2,9,0,59,11
8,33,26,6,0,3,1,10,1,47,11
9,40,2,12,0,3,1,9,0,37,7
10,18,4,5,3,5,1,1,0,28,2
11,11,6,7,0,6,1,2,0,74,5
12,11,5,7,0,2,0,1,0,69,3
13,17,19,12,0,1,1,0,0,57,2
14,12,20,0,4,2,3,1,0,50,2
15,10,13,4,14,0,3,0,0,55,4
16,13,9,6,11,1,7,0,5,60,1
17,12,5,6,3,12,7,0,15,64,2
18,14,6,7,7,12,2,1,12,65,1
19,8,6,6,11,43,4,0,24,59,1
20,23,10,9,55,23,4,1,18,74,3
21,11,6,5,244,16,13,0,18,58,2
22,3,2,2,171,13,7,0,5,23,1
23,1,2,0,52,9,6,0,5,23,0
24,7,0,3,66,12,6,0,12,32,1
25,9,1,3,66,5,5,0,3,34,1
26,11,0,4,44,7,8,0,8,32,3
27,7,1,4,50,10,9,1,7,47,1
28,5,0,0,34,8,8,0,5,23,1
29,8,1,3,26,4,6,0,8,20,3
30,5,0,3,63,2,11,0,8,38,0
31,8,1,7,102,8,8,1,6,45,0
